Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64576330,04/07/2025 01:45:47 AM,,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,10468,2608 CRESTON AVENUE,CRESTON AVENUE,EAST  192 STREET,EAST  193 STREET,EAST  192 STREET,EAST  193 STREET,ADDRESS,BRONX,CRESTON AVENUE,,In Progress,,,04/07/2025 02:07:16 AM,07 BRONX,2031680016,BRONX,1012906,254534,MOBILE,Unspecified,BRONX,Car,,,,,,,40.86526514679123,-73.89639665771692,"(40.86526514679123, -73.89639665771692)"
64576409,04/07/2025 01:44:54 AM,,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11374,98-59 62 ROAD,62 ROAD,DEAD END,99 STREET,DEAD END,99 STREET,ADDRESS,REGO PARK,62 ROAD,,In Progress,,,04/07/2025 02:32:55 AM,06 QUEENS,,QUEENS,1023506,206811,ONLINE,Unspecified,QUEENS,SUV,,,,,,,40.73423796314146,-73.85835231319993,"(40.73423796314146, -73.85835231319993)"
64574293,04/07/2025 01:44:54 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,2082 VALENTINE AVENUE,VALENTINE AVENUE,EAST  180 STREET,EAST  181 STREET,EAST  180 STREET,EAST  181 STREET,ADDRESS,BRONX,VALENTINE AVENUE,,In Progress,,,04/07/2025 02:19:00 AM,05 BRONX,2031440002,BRONX,1011947,249985,PHONE,Unspecified,BRONX,,,,,,,,40.852782576688604,-73.89988263515792,"(40.852782576688604, -73.89988263515792)"
64574292,04/07/2025 01:44:17 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,55-02 98 STREET,98 STREET,55 AVENUE,57 AVENUE,55 AVENUE,57 AVENUE,ADDRESS,CORONA,98 STREET,,In Progress,,,,04 QUEENS,4019060026,QUEENS,1022275,208488,MOBILE,Unspecified,QUEENS,,,,,,,,40.73884628606612,-73.86278465263958,"(40.73884628606612, -73.86278465263958)"
64574388,04/07/2025 01:42:32 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11213,1196 EASTERN PARKWAY,EASTERN PARKWAY,UTICA AVENUE,ROCHESTER AVENUE,UTICA AVENUE,ROCHESTER AVENUE,ADDRESS,BROOKLYN,EASTERN PARKWAY,,In Progress,,,,09 BROOKLYN,3013970035,BROOKLYN,1003932,182902,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6686785997877,-73.92905113642485,"(40.6686785997877, -73.92905113642485)"
64575322,04/07/2025 01:42:25 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11212,230 LOTT AVENUE,LOTT AVENUE,OSBORN STREET,WATKINS STREET,OSBORN STREET,WATKINS STREET,ADDRESS,BROOKLYN,LOTT AVENUE,,In Progress,,,04/07/2025 02:12:02 AM,16 BROOKLYN,3036280001,BROOKLYN,1010566,179134,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6583190463422,-73.90515188962819,"(40.6583190463422, -73.90515188962819)"
64575346,04/07/2025 01:42:07 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10465,235 QUINCY AVENUE,QUINCY AVENUE,HARDING AVENUE,LAWTON AVENUE,HARDING AVENUE,LAWTON AVENUE,ADDRESS,BRONX,QUINCY AVENUE,,In Progress,,,,10 BRONX,2055920039,BRONX,1034418,236709,PHONE,Unspecified,BRONX,,,,,,,,40.81624477944797,-73.81875535765772,"(40.81624477944797, -73.81875535765772)"
64571484,04/07/2025 01:42:05 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10025,951 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  106 STREET,WEST  107 STREET,WEST  106 STREET,WEST  107 STREET,ADDRESS,NEW YORK,AMSTERDAM AVENUE,,In Progress,,,04/07/2025 02:06:11 AM,07 MANHATTAN,1018610063,MANHATTAN,993839,231064,PHONE,Unspecified,MANHATTAN,,,,,,,,40.800888066586644,-73.96536531783022,"(40.800888066586644, -73.96536531783022)"
64572373,04/07/2025 01:39:12 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10309,2945 ARTHUR KILL ROAD,ARTHUR KILL ROAD,INDUSTRIAL LOOP,INDUSTRIAL LOOP,INDUSTRIAL LOOP,INDUSTRIAL LOOP,ADDRESS,STATEN ISLAND,ARTHUR KILL ROAD,,In Progress,,,04/07/2025 01:52:50 AM,03 STATEN ISLAND,5072060001,STATEN ISLAND,920602,138469,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.54651263946786,-74.22901646501312,"(40.54651263946786, -74.22901646501312)"
64576175,04/07/2025 01:38:02 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11201,175 ADAMS STREET,ADAMS STREET,RED CROSS PLACE,TILLARY STREET,RED CROSS PLACE,TILLARY STREET,ADDRESS,BROOKLYN,ADAMS STREET,,In Progress,,,,02 BROOKLYN,3000860011,BROOKLYN,987413,193953,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69903238612719,-73.98859295781712,"(40.69903238612719, -73.98859295781712)"
64573320,04/07/2025 01:38:01 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11220,769 59 STREET,59 STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,59 STREET,,In Progress,,,,07 BROOKLYN,3008580049,BROOKLYN,981545,171194,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.636564156342565,-74.00974617903692,"(40.636564156342565, -74.00974617903692)"
64573312,04/07/2025 01:38:01 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10462,2100 EAST TREMONT AVENUE,EAST TREMONT AVENUE,DOGWOOD DRIVE,ELM DRIVE,DOGWOOD DRIVE,ELM DRIVE,ADDRESS,BRONX,EAST TREMONT AVENUE,,In Progress,,,,09 BRONX,2039447501,BRONX,1023685,246066,PHONE,Unspecified,BRONX,,,,,,,,40.84198146587329,-73.85747596732867,"(40.84198146587329, -73.85747596732867)"
64575202,04/07/2025 01:37:54 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10309,2945 ARTHUR KILL ROAD,ARTHUR KILL ROAD,INDUSTRIAL LOOP,INDUSTRIAL LOOP,INDUSTRIAL LOOP,INDUSTRIAL LOOP,ADDRESS,STATEN ISLAND,ARTHUR KILL ROAD,,In Progress,,,04/07/2025 01:52:43 AM,03 STATEN ISLAND,5072060001,STATEN ISLAND,920602,138469,MOBILE,Unspecified,STATEN ISLAND,,,,,,,,40.54651263946786,-74.22901646501312,"(40.54651263946786, -74.22901646501312)"
64570522,04/07/2025 01:37:42 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10128,312 EAST   95 STREET,EAST   95 STREET,2 AVENUE,1 AVENUE,2 AVENUE,1 AVENUE,ADDRESS,NEW YORK,EAST   95 STREET,,In Progress,,,,08 MANHATTAN,1015570041,MANHATTAN,998920,224668,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.78332579957832,-73.94702713634169,"(40.78332579957832, -73.94702713634169)"
64576338,04/07/2025 01:37:13 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,2454 WEBB AVENUE,WEBB AVENUE,DEVOE TERRACE,WEST  190 STREET,DEVOE TERRACE,WEST  190 STREET,ADDRESS,BRONX,WEBB AVENUE,,In Progress,,,04/07/2025 02:07:01 AM,07 BRONX,2032190094,BRONX,1010272,254523,MOBILE,Unspecified,BRONX,,,,,,,,40.86524311270885,-73.90591969676916,"(40.86524311270885, -73.90591969676916)"
64574375,04/07/2025 01:37:07 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10474,FAILE STREET,FAILE STREET,FAILE STREET,VIELE AVENUE,FAILE STREET,VIELE AVENUE,INTERSECTION,,,,In Progress,,,04/07/2025 01:52:10 AM,02 BRONX,,BRONX,1016232,233248,PHONE,Unspecified,BRONX,Car,,,,,,,40.806829864587485,-73.88447329434429,"(40.806829864587485, -73.88447329434429)"
64570495,04/07/2025 01:35:55 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,10461,1580 PELHAM PARKWAY SOUTH,PELHAM PARKWAY SOUTH,EASTCHESTER ROAD,STILLWELL AVENUE,EASTCHESTER ROAD,STILLWELL AVENUE,ADDRESS,BRONX,PELHAM PARKWAY SOUTH,,In Progress,,,04/07/2025 01:58:45 AM,11 BRONX,2042220046,BRONX,1028355,251411,PHONE,Unspecified,BRONX,,,,,,,,40.85662979701842,-73.84056275855092,"(40.85662979701842, -73.84056275855092)"
64575319,04/07/2025 01:35:09 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10309,25 VALDEMAR AVENUE,VALDEMAR AVENUE,DEAD END,QUEENSDALE STREET,DEAD END,QUEENSDALE STREET,ADDRESS,STATEN ISLAND,VALDEMAR AVENUE,,In Progress,,,04/07/2025 02:12:47 AM,03 STATEN ISLAND,5068570026,STATEN ISLAND,928822,132329,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.529714713451824,-74.19938931156796,"(40.529714713451824, -74.19938931156796)"
64574404,04/07/2025 01:35:01 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11229,2035 EAST   16 STREET,EAST   16 STREET,AVENUE T,AVENUE U,AVENUE T,AVENUE U,ADDRESS,BROOKLYN,EAST   16 STREET,,In Progress,,,04/07/2025 02:27:13 AM,15 BROOKLYN,3073210066,BROOKLYN,996545,157988,PHONE,Unspecified,BROOKLYN,Car,,,,,,,40.60030831456497,-73.95572487712084,"(40.60030831456497, -73.95572487712084)"
64576329,04/07/2025 01:34:54 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11223,1838 WEST    7 STREET,WEST    7 STREET,HIGHLAWN AVENUE,AVENUE S,HIGHLAWN AVENUE,AVENUE S,ADDRESS,BROOKLYN,WEST    7 STREET,,In Progress,,,,11 BROOKLYN,3066730121,BROOKLYN,989899,158751,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.60240932285499,-73.97965693117018,"(40.60240932285499, -73.97965693117018)"
64576176,04/07/2025 01:34:12 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,630 EAST    6 STREET,EAST    6 STREET,AVENUE B,AVENUE C,AVENUE B,AVENUE C,ADDRESS,NEW YORK,EAST    6 STREET,,In Progress,,,04/07/2025 01:58:49 AM,03 MANHATTAN,1003870124,MANHATTAN,989722,203016,PHONE,Unspecified,MANHATTAN,,,,,,,,40.72390703890059,-73.98025841508438,"(40.72390703890059, -73.98025841508438)"
64573224,04/07/2025 01:33:21 AM,,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,10452,96 WEST  163 STREET,WEST  163 STREET,WOODYCREST AVENUE,OGDEN AVENUE,WOODYCREST AVENUE,OGDEN AVENUE,ADDRESS,BRONX,WEST  163 STREET,,In Progress,,,,04 BRONX,2025110065,BRONX,1003829,242447,PHONE,Unspecified,BRONX,Car,,,,,,,40.8321147109914,-73.92924906069243,"(40.8321147109914, -73.92924906069243)"
64575911,04/07/2025 01:31:21 AM,04/07/2025 01:48:02 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,35-38 JUNCTION BOULEVARD,JUNCTION BOULEVARD,35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,ADDRESS,CORONA,JUNCTION BOULEVARD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,04/07/2025 01:48:09 AM,03 QUEENS,4014697501,QUEENS,1019814,213646,ONLINE,Unspecified,QUEENS,,,,,,,,40.75301392618723,-73.87163802142506,"(40.75301392618723, -73.87163802142506)"
64575192,04/07/2025 01:31:19 AM,,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10452,97 WEST  163 STREET,WEST  163 STREET,WOODYCREST AVENUE,OGDEN AVENUE,WOODYCREST AVENUE,OGDEN AVENUE,ADDRESS,BRONX,WEST  163 STREET,,In Progress,,,,04 BRONX,2025110153,BRONX,1003827,242454,PHONE,Unspecified,BRONX,,,,,,,,40.83213392840631,-73.92925626748782,"(40.83213392840631, -73.92925626748782)"
64576296,04/07/2025 01:30:40 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11212,950 RUTLAND ROAD,RUTLAND ROAD,EAST   91 STREET,EAST   92 STREET,EAST   91 STREET,EAST   92 STREET,ADDRESS,BROOKLYN,RUTLAND ROAD,,In Progress,,,04/07/2025 02:09:41 AM,17 BROOKLYN,3046100001,BROOKLYN,1004226,180331,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66162111921814,-73.92799895554676,"(40.66162111921814, -73.92799895554676)"
64576177,04/07/2025 01:30:28 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10451,346 EAST  156 STREET,EAST  156 STREET,MORRIS AVENUE,COURTLANDT AVENUE,MORRIS AVENUE,COURTLANDT AVENUE,ADDRESS,BRONX,EAST  156 STREET,,In Progress,,,04/07/2025 02:17:57 AM,01 BRONX,2024130001,BRONX,1006966,238547,PHONE,Unspecified,BRONX,,,,,,,,40.82140281581534,-73.91792636564979,"(40.82140281581534, -73.91792636564979)"
64571836,04/07/2025 01:29:23 AM,04/07/2025 01:46:16 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11236,1262 EAST  108 STREET,EAST  108 STREET,FLATLANDS    6 STREET,AVENUE M,FLATLANDS    6 STREET,AVENUE M,ADDRESS,BROOKLYN,EAST  108 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/07/2025 01:46:23 AM,18 BROOKLYN,3082720036,BROOKLYN,1015946,173494,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.642820861359766,-73.8857878210791,"(40.642820861359766, -73.8857878210791)"
64570629,04/07/2025 01:28:57 AM,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11212,294 ROCKAWAY PARKWAY,ROCKAWAY PARKWAY,KINGS HIGHWAY,LENOX ROAD,KINGS HIGHWAY,LENOX ROAD,ADDRESS,BROOKLYN,ROCKAWAY PARKWAY,,In Progress,,,04/07/2025 01:59:20 AM,17 BROOKLYN,3046510029,BROOKLYN,1006703,179802,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66016319670232,-73.9190726788719,"(40.66016319670232, -73.9190726788719)"
64576847,04/07/2025 01:28:52 AM,04/07/2025 01:49:08 AM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,10027,18 MT MORRIS PARK WEST,MT MORRIS PARK WEST,WEST  121 STREET,WEST  122 STREET,WEST  121 STREET,WEST  122 STREET,ADDRESS,NEW YORK,MOUNT MORRIS PARK WEST,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:49:13 AM,11 MANHATTAN,1017190001,MANHATTAN,999341,232509,ONLINE,Marcus Garvey Park,MANHATTAN,,,,,,,,40.80484651053699,-73.94548930106254,"(40.80484651053699, -73.94548930106254)"
64575532,04/07/2025 01:28:25 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11228,8697 15 AVENUE,15 AVENUE,BENSON AVENUE,BATH AVENUE,BENSON AVENUE,BATH AVENUE,ADDRESS,BROOKLYN,15 AVENUE,,In Progress,,,,11 BROOKLYN,3063940034,BROOKLYN,980998,161253,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.60927800562206,-74.01171224394184,"(40.60927800562206, -74.01171224394184)"
64574241,04/07/2025 01:28:23 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11211,255 GRAND STREET,GRAND STREET,DRIGGS AVENUE,ROEBLING STREET,DRIGGS AVENUE,ROEBLING STREET,ADDRESS,BROOKLYN,GRAND STREET,,In Progress,,,04/07/2025 02:07:35 AM,01 BROOKLYN,,BROOKLYN,995725,199198,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.71342179771615,-73.95860762835224,"(40.71342179771615, -73.95860762835224)"
64577343,04/07/2025 01:27:58 AM,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,35-38 JUNCTION BOULEVARD,JUNCTION BOULEVARD,35 AVENUE,37 AVENUE,35 AVENUE,37 AVENUE,ADDRESS,CORONA,JUNCTION BOULEVARD,,In Progress,,,04/07/2025 02:02:11 AM,03 QUEENS,4014697501,QUEENS,1019814,213646,PHONE,Unspecified,QUEENS,,,,,,,,40.75301392618723,-73.87163802142506,"(40.75301392618723, -73.87163802142506)"
64570516,04/07/2025 01:27:13 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11375,102-30 QUEENS BOULEVARD,QUEENS BOULEVARD,68 AVENUE,68 ROAD,68 AVENUE,68 ROAD,ADDRESS,FOREST HILLS,QUEENS BOULEVARD,,In Progress,,Your complaint has been received by the Police Department and additional information will be available later.,04/07/2025 02:10:15 AM,06 QUEENS,4031737501,QUEENS,1025568,203636,ONLINE,Unspecified,QUEENS,,,,,,,,40.725513985000454,-73.85093149470026,"(40.725513985000454, -73.85093149470026)"
64577140,04/07/2025 01:26:24 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11370,25-50 84 STREET,84 STREET,25 AVENUE,30 AVENUE,25 AVENUE,30 AVENUE,ADDRESS,EAST ELMHURST,84 STREET,,In Progress,,,,03 QUEENS,4013570031,QUEENS,1016155,217264,MOBILE,Unspecified,QUEENS,,,,,,,,40.76295836285362,-73.88482735045635,"(40.76295836285362, -73.88482735045635)"
64572520,04/07/2025 01:25:56 AM,,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10469,2910 BRUNER AVENUE,BRUNER AVENUE,ARNOW AVENUE,ADEE AVENUE,ARNOW AVENUE,ADEE AVENUE,ADDRESS,BRONX,BRUNER AVENUE,,In Progress,,,,12 BRONX,2047910036,BRONX,1029406,256191,PHONE,Unspecified,BRONX,,,,,,,,40.869744116485606,-73.83673125146464,"(40.869744116485606, -73.83673125146464)"
64571273,04/07/2025 01:25:24 AM,,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,10019,800 11 AVENUE,11 AVENUE,WEST   55 STREET,WEST   56 STREET,WEST   55 STREET,WEST   56 STREET,ADDRESS,NEW YORK,11 AVENUE,,In Progress,,,,04 MANHATTAN,1010840001,MANHATTAN,986435,219560,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.76931758771788,-73.99211170046686,"(40.76931758771788, -73.99211170046686)"
64572291,04/07/2025 01:25:00 AM,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,1057 BOYNTON AVENUE,BOYNTON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,ADDRESS,BRONX,BOYNTON AVENUE,,In Progress,,,04/07/2025 01:52:13 AM,09 BRONX,2037140036,BRONX,1018159,240003,MOBILE,Unspecified,BRONX,,,,,,,,40.82536324322324,-73.87747838486375,"(40.82536324322324, -73.87747838486375)"
64571974,04/07/2025 01:24:57 AM,04/07/2025 01:44:16 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10473,2280 RANDALL AVENUE,RANDALL AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,CASTLE HILL AVENUE,HAVEMEYER AVENUE,ADDRESS,BRONX,RANDALL AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/07/2025 01:44:23 AM,09 BRONX,2035370001,BRONX,1026993,237822,PHONE,Unspecified,BRONX,,,,,,,,40.819338693269565,-73.84557290696154,"(40.819338693269565, -73.84557290696154)"
64570497,04/07/2025 01:24:53 AM,,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10040,108 ELLWOOD STREET,ELLWOOD STREET,WEST  196 STREET,SHERMAN AVENUE,WEST  196 STREET,SHERMAN AVENUE,ADDRESS,NEW YORK,ELLWOOD STREET,,In Progress,,,04/07/2025 01:55:14 AM,12 MANHATTAN,1021720039,MANHATTAN,1003754,253291,PHONE,Unspecified,MANHATTAN,Car,,,,,,,40.86187845400225,-73.92948853877418,"(40.86187845400225, -73.92948853877418)"
64575342,04/07/2025 01:24:53 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10452,963 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST  162 STREET,WEST  163 STREET,WEST  162 STREET,WEST  163 STREET,ADDRESS,BRONX,WOODYCREST AVENUE,,In Progress,,,,04 BRONX,2025110068,BRONX,1003966,242285,PHONE,Unspecified,BRONX,,,,,,,,40.831669762919574,-73.9287544719845,"(40.831669762919574, -73.9287544719845)"
